CHRONOZONE,PLAY_TYPE,PLAY,PLAY_NUMBER,PLAY_NAME_DESCRIPTION
KML,B1,KML_B1,5401,Middle Lower Cretaceous Carbonate Mooringsport Formation (Albian Age) Play
KLL,B1,KLL_B1,5701,Lower Lower Cretaceous James Limestone (Aptian Age) Play
KLL,B2,KLL_B2,5702,Lower Lower Cretaceous Carbonate Sligo Formation (Aptian Age) Play
JU,B1,JU_B1,6201,Upper Jurassic Carbonate Smackover Formation (Oxfordian Age) Play
JU,BC1,JU_BC1,6231,Upper Jurassic Buried Hill Drape Play
JU,X1,JU_X1,6291,Upper Jurassic Perdido Fold Belt Play
JU,X2,JU_X2,6292,Upper Jurassic Mississippi Fan Fold Belt Play
PU-PL,B1,PU-PL_B1,9901,Upper to Lower Pliocene Caprock Play
MML-OU,B2,MML-OU_B2,9902,Lower Miocene to Upper Oligocene Tampa Limestone Play
OU-LL,B3,OU-LL_B3,9903,Lower Tertiary Carbonate Play
KUU-JU,B4,KUU-JU_B4,9904,Cretaceous to Upper Jurassic Deep Shelf Carbonate Play
KUU-TRL,B5,KUU-TRL_B5,9905,Mesozoic Carbonate Play
KUL-KLL,B6,KUL-KLL_B6,9906,Lower Cretaceous Carbonate Sunniland Formation Play
KUL-KLL,B7,KUL-KLL_B7,9907,Lower Cretaceous Carbonate South Florida Basin Play
OU-LL,C1,OU-LL_C1,9911,Lower Tertiary Clastic Play
OL-LL,C2,OL-LL_C2,9912,Lower Tertiary Clastic Gas Play
OL-LL,C3,OL-LL_C3,9913,Lower Tertiary Clastic Gas/Oil Play
EL-LU,C4,EL-LU_C4,9914,Lower Eocene to Upper Paleocene Clastic Wilcox Group Play
LU-LL,C5,LU-LL_C5,9915,Paleocene Clastic Midway Group Play
KUU-TRL,C6,KUU-TRL_C6,9916,Mesozoic Clastic Play
KLU-KLL,C7,KLU-KLL_C7,9917,Cretaceous Clastic Dantzler/Paluxy/Hosston Play
JU-JM,C8,JU-JM_C8,9918,Jurassic Florida Basal Clastic Play
OU-LL,BC1,OU-LL_BC1,9931,Lower Tertiary Carbonate/Clastic Play
EL-LL,BC2,EL-LL_BC2,9932,Lower Eocene to Paleocene Buried Hill Drape Play
KUU-KLL,BC3,KUU-KLL_BC3,9933,Cretaceous Buried Hill Drape Play
KUU-JU,BC4,KUU-JU_BC4,9934,Cretaceous to Upper Jurassic Buried Hill Stratigraphic-Detrital Play
KUU-TRL,BC5,KUU-TRL_BC5,9935,Mesozoic Buried Hill Structural Play
KUU-TRL,BC6,KUU-TRL_BC6,9936,Mesozoic Carbonate/Clastic Play
KUL-JU,BC7,KUL-JU_BC7,9937,Lower Cretaceous to Upper Jurassic Transition Zone Play
KLL-JU,BC8,KLL-JU_BC8,9938,Lower Cretaceous to Upper Jurassic Cotton Valley/Haynesville Group (Valanginian to Kimmeridgian Age) Play
JU-JM,A1,JU-JM_A1,9941,Jurassic Aggradational Norphlet Formation (Oxfordian to Callovian Age) Play
MUU-MMM,AP1,MUU-MMM_AP1,9951,Upper to Middle Miocene Shallow Bright Spot Trend Play
OU-LL,P1,OU-LL_P1,9961,Lower Tertiary Progradational Play
MUM-MMM,S1,MUM-MMM_S1,9971,Middle Miocene Structural Corsair Play
KUU-JU,S2,KUU-JU_S2,9972,Cretaceous to Upper Jurassic Salt Roller/High-Relief Salt Structure Play
EU-LL,F1,EU-LL_F1,9981,Eocene to Paleocene Fan 1 Play
EU-LL,F2,EU-LL_F2,9982,Eocene to Paleocene Fan 2 Play
PLU-LL,F3,PLU-LL_F3,9983,Cenozoic Fan 3 Play
PLU-LL,X1,PLU-LL_X1,9991,Cenozoic Perdido Fold Belt Play
PLU-LL,X2,PLU-LL_X2,9992,Cenozoic Mississippi Fan Fold Belt Play
PLU-LL,X3,PLU-LL_X3,9993,Cenozoic Port Isabel Fold Belt Play
KUU-KLL,X4,KUU-KLL_X4,9994,Cretaceous Perdido Fold Belt Play
KUU-KLL,X5,KUU-KLL_X5,9995,Cretaceous Mississippi Fan Fold Belt Play
